Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1456187628 , Gap_End_2 : 1456187629, GeoHash : gbsg1m, Lon1 : 48.36989 , Lat1 : -4.5147233, Lon2 : 48.37084 , Lat2 : -4.5125885 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 227003050 , Gap_End_1 : 1456495702 , Gap_End_2 : 1456522560, GeoHash : gbsg1z, Lon1 : 48.38114 , Lat1 : -4.484472, Lon2 : 48.381134 , Lat2 : -4.485698 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227006750 , Gap_End_1 : 1456522560 , Gap_End_2 : 1456522562, GeoHash : gbsg1z, Lon1 : 48.381134 , Lat1 : -4.485698, Lon2 : 48.381172 , Lat2 : -4.4844885 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 227730220 , Gap_End_1 : 1456522562 , Gap_End_2 : 1456522573, GeoHash : gbsg1z, Lon1 : 48.381172 , Lat1 : -4.4844885, Lon2 : 48.380707 , Lat2 : -4.487243 }
Suspicious RendezVous : { Vessel_1 : 227730220, Vessel_2 : 227008170 , Gap_End_1 : 1456522573 , Gap_End_2 : 1456522584, GeoHash : gbsg1z, Lon1 : 48.380707 , Lat1 : -4.487243, Lon2 : 48.381565 , Lat2 : -4.4861484 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456495742 , Gap_End_2 : 1456522585, GeoHash : gbsg1x, Lon1 : 48.382484 , Lat1 : -4.4966865, Lon2 : 48.382473 , Lat2 : -4.4966884 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456522565 , Gap_End_2 : 1456522585, GeoHash : gbsg1x, Lon1 : 48.3824 , Lat1 : -4.496615, Lon2 : 48.382473 , Lat2 : -4.4966884 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456522585 , Gap_End_2 : 1456553966, GeoHash : gbsg1x, Lon1 : 48.382473 , Lat1 : -4.4966884, Lon2 : 48.38242 , Lat2 : -4.4965835 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456553965 , Gap_End_2 : 1456553966, GeoHash : gbsg1x, Lon1 : 48.38249 , Lat1 : -4.4966784, Lon2 : 48.38242 , Lat2 : -4.4965835 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227003050 , Gap_End_1 : 1456522584 , Gap_End_2 : 1456553970, GeoHash : gbsg1z, Lon1 : 48.381565 , Lat1 : -4.4861484, Lon2 : 48.381134 , Lat2 : -4.48569 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227008170 , Gap_End_1 : 1456553970 , Gap_End_2 : 1456553974, GeoHash : gbsg1z, Lon1 : 48.381134 , Lat1 : -4.48569, Lon2 : 48.381516 , Lat2 : -4.486165 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227006750 , Gap_End_1 : 1456553974 , Gap_End_2 : 1456553984, GeoHash : gbsg1z, Lon1 : 48.381516 , Lat1 : -4.486165, Lon2 : 48.381126 , Lat2 : -4.484515 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 227008170 , Gap_End_1 : 1456553984 , Gap_End_2 : 1456590883, GeoHash : gbsg1z, Lon1 : 48.381126 , Lat1 : -4.484515, Lon2 : 48.38155 , Lat2 : -4.486115 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 227008170 , Gap_End_1 : 1456590873 , Gap_End_2 : 1456590883, GeoHash : gbsg1z, Lon1 : 48.381126 , Lat1 : -4.484542, Lon2 : 48.38155 , Lat2 : -4.486115 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456553966 , Gap_End_2 : 1456591415, GeoHash : gbsg1x, Lon1 : 48.38242 , Lat1 : -4.4965835, Lon2 : 48.38248 , Lat2 : -4.4966865 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456590905 , Gap_End_2 : 1456591415, GeoHash : gbsg1x, Lon1 : 48.38241 , Lat1 : -4.4965568, Lon2 : 48.38248 , Lat2 : -4.4966865 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456591415 , Gap_End_2 : 1456592165, GeoHash : gbsg1x, Lon1 : 48.38248 , Lat1 : -4.4966865, Lon2 : 48.382393 , Lat2 : -4.496588 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227006750 , Gap_End_1 : 1456590883 , Gap_End_2 : 1456629524, GeoHash : gbsg1z, Lon1 : 48.38155 , Lat1 : -4.486115, Lon2 : 48.38109 , Lat2 : -4.484512 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 227003050 , Gap_End_1 : 1456629524 , Gap_End_2 : 1456629529, GeoHash : gbsg1z, Lon1 : 48.38109 , Lat1 : -4.484512, Lon2 : 48.381092 , Lat2 : -4.48571 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227008170 , Gap_End_1 : 1456629529 , Gap_End_2 : 1456629533, GeoHash : gbsg1z, Lon1 : 48.381092 , Lat1 : -4.48571, Lon2 : 48.381565 , Lat2 : -4.486115 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227006750 , Gap_End_1 : 1456629533 , Gap_End_2 : 1456658602, GeoHash : gbsg1z, Lon1 : 48.381565 , Lat1 : -4.486115, Lon2 : 48.381153 , Lat2 : -4.4845033 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227006750 , Gap_End_1 : 1456658593 , Gap_End_2 : 1456658602, GeoHash : gbsg1z, Lon1 : 48.38155 , Lat1 : -4.486065, Lon2 : 48.381153 , Lat2 : -4.4845033 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 227003050 , Gap_End_1 : 1456658602 , Gap_End_2 : 1456688546, GeoHash : gbsg1z, Lon1 : 48.381153 , Lat1 : -4.4845033, Lon2 : 48.3811 , Lat2 : -4.4857216 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 227003050 , Gap_End_1 : 1456688543 , Gap_End_2 : 1456688546, GeoHash : gbsg1z, Lon1 : 48.381123 , Lat1 : -4.484512, Lon2 : 48.3811 , Lat2 : -4.4857216 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227008170 , Gap_End_1 : 1456688546 , Gap_End_2 : 1456688554, GeoHash : gbsg1z, Lon1 : 48.3811 , Lat1 : -4.4857216, Lon2 : 48.38155 , Lat2 : -4.4861317 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 228144000 , Gap_End_1 : 1456522569 , Gap_End_2 : 1456688564, GeoHash : gbscts, Lon1 : 48.1001 , Lat1 : -4.327205, Lon2 : 48.102448 , Lat2 : -4.317965 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 228144000 , Gap_End_1 : 1456553969 , Gap_End_2 : 1456688564, GeoHash : gbscts, Lon1 : 48.100105 , Lat1 : -4.327215, Lon2 : 48.102448 , Lat2 : -4.317965 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 228144000 , Gap_End_1 : 1456590881 , Gap_End_2 : 1456688564, GeoHash : gbscts, Lon1 : 48.100086 , Lat1 : -4.3272166, Lon2 : 48.102448 , Lat2 : -4.317965 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 228144000 , Gap_End_1 : 1456629531 , Gap_End_2 : 1456688564, GeoHash : gbscts, Lon1 : 48.100086 , Lat1 : -4.3272185, Lon2 : 48.102448 , Lat2 : -4.317965 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 228144000 , Gap_End_1 : 1456658601 , Gap_End_2 : 1456688564, GeoHash : gbscts, Lon1 : 48.100086 , Lat1 : -4.32722, Lon2 : 48.102448 , Lat2 : -4.317965 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 228144000 , Gap_End_1 : 1456688540 , Gap_End_2 : 1456688564, GeoHash : gbscts, Lon1 : 48.100105 , Lat1 : -4.327235, Lon2 : 48.102448 , Lat2 : -4.317965 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456592165 , Gap_End_2 : 1456688577, GeoHash : gbsg1x, Lon1 : 48.382393 , Lat1 : -4.496588, Lon2 : 48.382492 , Lat2 : -4.496705 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456629535 , Gap_End_2 : 1456688577, GeoHash : gbsg1x, Lon1 : 48.382385 , Lat1 : -4.496575, Lon2 : 48.382492 , Lat2 : -4.496705 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456658616 , Gap_End_2 : 1456688577, GeoHash : gbsg1x, Lon1 : 48.382435 , Lat1 : -4.4965534, Lon2 : 48.382492 , Lat2 : -4.496705 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456688566 , Gap_End_2 : 1456688577, GeoHash : gbsg1x, Lon1 : 48.382435 , Lat1 : -4.496558, Lon2 : 48.382492 , Lat2 : -4.496705 }
Suspicious RendezVous : { Vessel_1 : 228218700, Vessel_2 : 227318020 , Gap_End_1 : 1456688535 , Gap_End_2 : 1456688804, GeoHash : gbscvc, Lon1 : 48.126186 , Lat1 : -4.311897, Lon2 : 48.12821 , Lat2 : -4.31544 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227635210 , Gap_End_1 : 1456688577 , Gap_End_2 : 1456724779, GeoHash : gbsg1x, Lon1 : 48.382492 , Lat1 : -4.496705, Lon2 : 48.37954 , Lat2 : -4.4970264 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227006750 , Gap_End_1 : 1456688554 , Gap_End_2 : 1456724784, GeoHash : gbsg1z, Lon1 : 48.38155 , Lat1 : -4.4861317, Lon2 : 48.38116 , Lat2 : -4.4845133 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227705102 , Gap_End_1 : 1456724779 , Gap_End_2 : 1456724785, GeoHash : gbsg1x, Lon1 : 48.37954 , Lat1 : -4.4970264, Lon2 : 48.38244 , Lat2 : -4.4965715 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 227008170 , Gap_End_1 : 1456724784 , Gap_End_2 : 1456724794, GeoHash : gbsg1z, Lon1 : 48.38116 , Lat1 : -4.4845133, Lon2 : 48.381584 , Lat2 : -4.4860983 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227003050 , Gap_End_1 : 1456724794 , Gap_End_2 : 1456724795, GeoHash : gbsg1z, Lon1 : 48.381584 , Lat1 : -4.4860983, Lon2 : 48.38109 , Lat2 : -4.4857516 }
Suspicious RendezVous : { Vessel_1 : 228144000, Vessel_2 : 227941000 , Gap_End_1 : 1456688564 , Gap_End_2 : 1456724820, GeoHash : gbscts, Lon1 : 48.102448 , Lat1 : -4.317965, Lon2 : 48.100094 , Lat2 : -4.327222 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456724785 , Gap_End_2 : 1456724836, GeoHash : gbsg1x, Lon1 : 48.38244 , Lat1 : -4.4965715, Lon2 : 48.382458 , Lat2 : -4.496695 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 226177000 , Gap_End_1 : 1456724820 , Gap_End_2 : 1456724886, GeoHash : gbscts, Lon1 : 48.100094 , Lat1 : -4.327222, Lon2 : 48.09823 , Lat2 : -4.325878 }
Suspicious RendezVous : { Vessel_1 : 226177000, Vessel_2 : 227941000 , Gap_End_1 : 1456724886 , Gap_End_2 : 1456751470, GeoHash : gbscts, Lon1 : 48.09823 , Lat1 : -4.325878, Lon2 : 48.100086 , Lat2 : -4.327212 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227006750 , Gap_End_1 : 1456724795 , Gap_End_2 : 1456751472, GeoHash : gbsg1z, Lon1 : 48.38109 , Lat1 : -4.4857516, Lon2 : 48.381214 , Lat2 : -4.484475 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 227008170 , Gap_End_1 : 1456751472 , Gap_End_2 : 1456751474, GeoHash : gbsg1z, Lon1 : 48.381214 , Lat1 : -4.484475, Lon2 : 48.381565 , Lat2 : -4.4860983 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456724836 , Gap_End_2 : 1456751849, GeoHash : gbsg1x, Lon1 : 48.382458 , Lat1 : -4.496695, Lon2 : 48.382435 , Lat2 : -4.4966965 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456751701 , Gap_End_2 : 1456751849, GeoHash : gbsg1x, Lon1 : 48.38239 , Lat1 : -4.496578, Lon2 : 48.382435 , Lat2 : -4.4966965 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 226177000 , Gap_End_1 : 1456751470 , Gap_End_2 : 1456751896, GeoHash : gbscts, Lon1 : 48.100086 , Lat1 : -4.327212, Lon2 : 48.098167 , Lat2 : -4.3252716 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456751849 , Gap_End_2 : 1456775524, GeoHash : gbsg1x, Lon1 : 48.382435 , Lat1 : -4.4966965, Lon2 : 48.382526 , Lat2 : -4.49668 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227730220 , Gap_End_1 : 1456751474 , Gap_End_2 : 1456775526, GeoHash : gbsg1z, Lon1 : 48.381565 , Lat1 : -4.4860983, Lon2 : 48.380688 , Lat2 : -4.487255 }
Suspicious RendezVous : { Vessel_1 : 227730220, Vessel_2 : 227003050 , Gap_End_1 : 1456775526 , Gap_End_2 : 1456775527, GeoHash : gbsg1z, Lon1 : 48.380688 , Lat1 : -4.487255, Lon2 : 48.381092 , Lat2 : -4.4857335 }
Suspicious RendezVous : { Vessel_1 : 226177000, Vessel_2 : 227941000 , Gap_End_1 : 1456751896 , Gap_End_2 : 1456775530, GeoHash : gbscts, Lon1 : 48.098167 , Lat1 : -4.3252716, Lon2 : 48.100094 , Lat2 : -4.327235 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227008170 , Gap_End_1 : 1456775527 , Gap_End_2 : 1456775542, GeoHash : gbsg1z, Lon1 : 48.381092 , Lat1 : -4.4857335, Lon2 : 48.381565 , Lat2 : -4.4861317 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456775524 , Gap_End_2 : 1456775570, GeoHash : gbsg1x, Lon1 : 48.382526 , Lat1 : -4.49668, Lon2 : 48.382393 , Lat2 : -4.4966116 }
Suspicious RendezVous : { Vessel_1 : 228160000, Vessel_2 : 228302900 , Gap_End_1 : 1456775585 , Gap_End_2 : 1456775641, GeoHash : gbs9wf, Lon1 : 48.08836 , Lat1 : -4.616215, Lon2 : 48.0906 , Lat2 : -4.6203184 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227006750 , Gap_End_1 : 1456775542 , Gap_End_2 : 1456802507, GeoHash : gbsg1z, Lon1 : 48.381565 , Lat1 : -4.4861317, Lon2 : 48.381187 , Lat2 : -4.4844885 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 227008170 , Gap_End_1 : 1456802507 , Gap_End_2 : 1456802513, GeoHash : gbsg1z, Lon1 : 48.381187 , Lat1 : -4.4844885, Lon2 : 48.3815 , Lat2 : -4.486165 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227003050 , Gap_End_1 : 1456802513 , Gap_End_2 : 1456802518, GeoHash : gbsg1z, Lon1 : 48.3815 , Lat1 : -4.486165, Lon2 : 48.381157 , Lat2 : -4.485697 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456775570 , Gap_End_2 : 1456802534, GeoHash : gbsg1x, Lon1 : 48.382393 , Lat1 : -4.4966116, Lon2 : 48.38249 , Lat2 : -4.49667 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456802534 , Gap_End_2 : 1456802541, GeoHash : gbsg1x, Lon1 : 48.38249 , Lat1 : -4.49667, Lon2 : 48.38242 , Lat2 : -4.496587 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456802541 , Gap_End_2 : 1456827147, GeoHash : gbsg1x, Lon1 : 48.38242 , Lat1 : -4.496587, Lon2 : 48.382427 , Lat2 : -4.4966583 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227008170 , Gap_End_1 : 1456802518 , Gap_End_2 : 1456827153, GeoHash : gbsg1z, Lon1 : 48.381157 , Lat1 : -4.485697, Lon2 : 48.38155 , Lat2 : -4.4861317 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 227142200 , Gap_End_1 : 1456775530 , Gap_End_2 : 1456827163, GeoHash : gbscts, Lon1 : 48.100094 , Lat1 : -4.327235, Lon2 : 48.099434 , Lat2 : -4.327387 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 227142200 , Gap_End_1 : 1456802510 , Gap_End_2 : 1456827163, GeoHash : gbscts, Lon1 : 48.100082 , Lat1 : -4.3272133, Lon2 : 48.099434 , Lat2 : -4.327387 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227006750 , Gap_End_1 : 1456827153 , Gap_End_2 : 1456827167, GeoHash : gbsg1z, Lon1 : 48.38155 , Lat1 : -4.4861317, Lon2 : 48.38113 , Lat2 : -4.4845085 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 227003050 , Gap_End_1 : 1456827167 , Gap_End_2 : 1456859190, GeoHash : gbsg1z, Lon1 : 48.38113 , Lat1 : -4.4845085, Lon2 : 48.381138 , Lat2 : -4.4857635 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227008170 , Gap_End_1 : 1456859190 , Gap_End_2 : 1456859203, GeoHash : gbsg1z, Lon1 : 48.381138 , Lat1 : -4.4857635, Lon2 : 48.381565 , Lat2 : -4.4860983 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227006750 , Gap_End_1 : 1456859203 , Gap_End_2 : 1456859207, GeoHash : gbsg1z, Lon1 : 48.381565 , Lat1 : -4.4860983, Lon2 : 48.381153 , Lat2 : -4.484502 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 227730220 , Gap_End_1 : 1456859207 , Gap_End_2 : 1456859226, GeoHash : gbsg1z, Lon1 : 48.381153 , Lat1 : -4.484502, Lon2 : 48.380703 , Lat2 : -4.487273 }
Suspicious RendezVous : { Vessel_1 : 227730220, Vessel_2 : 227008170 , Gap_End_1 : 1456859226 , Gap_End_2 : 1456902163, GeoHash : gbsg1z, Lon1 : 48.380703 , Lat1 : -4.487273, Lon2 : 48.381565 , Lat2 : -4.486115 }
Suspicious RendezVous : { Vessel_1 : 227142200, Vessel_2 : 226179000 , Gap_End_1 : 1456827163 , Gap_End_2 : 1456902425, GeoHash : gbscts, Lon1 : 48.099434 , Lat1 : -4.327387, Lon2 : 48.098434 , Lat2 : -4.326393 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456827147 , Gap_End_2 : 1456948447, GeoHash : gbsg1x, Lon1 : 48.382427 , Lat1 : -4.4966583, Lon2 : 48.382465 , Lat2 : -4.4966516 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456859183 , Gap_End_2 : 1456948447, GeoHash : gbsg1x, Lon1 : 48.38246 , Lat1 : -4.49672, Lon2 : 48.382465 , Lat2 : -4.4966516 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456948447 , Gap_End_2 : 1456948448, GeoHash : gbsg1x, Lon1 : 48.382465 , Lat1 : -4.4966516, Lon2 : 48.3825 , Lat2 : -4.4967217 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227003050 , Gap_End_1 : 1456902163 , Gap_End_2 : 1456948452, GeoHash : gbsg1z, Lon1 : 48.381565 , Lat1 : -4.486115, Lon2 : 48.38114 , Lat2 : -4.485715 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227008170 , Gap_End_1 : 1456948452 , Gap_End_2 : 1456948453, GeoHash : gbsg1z, Lon1 : 48.38114 , Lat1 : -4.485715, Lon2 : 48.381584 , Lat2 : -4.486115 }
Suspicious RendezVous : { Vessel_1 : 226179000, Vessel_2 : 226178000 , Gap_End_1 : 1456902425 , Gap_End_2 : 1456948555, GeoHash : gbscts, Lon1 : 48.098434 , Lat1 : -4.326393, Lon2 : 48.09823 , Lat2 : -4.325703 }
Suspicious RendezVous : { Vessel_1 : 226179000, Vessel_2 : 226178000 , Gap_End_1 : 1456948455 , Gap_End_2 : 1456948555, GeoHash : gbscts, Lon1 : 48.09831 , Lat1 : -4.3264766, Lon2 : 48.09823 , Lat2 : -4.325703 }
Suspicious RendezVous : { Vessel_1 : 226178000, Vessel_2 : 227941000 , Gap_End_1 : 1456948555 , Gap_End_2 : 1456948970, GeoHash : gbscts, Lon1 : 48.09823 , Lat1 : -4.325703, Lon2 : 48.098938 , Lat2 : -4.326637 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 227142200 , Gap_End_1 : 1456948970 , Gap_End_2 : 1457003334, GeoHash : gbscts, Lon1 : 48.098938 , Lat1 : -4.326637, Lon2 : 48.099426 , Lat2 : -4.3273716 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227006750 , Gap_End_1 : 1456948453 , Gap_End_2 : 1457003344, GeoHash : gbsg1z, Lon1 : 48.381584 , Lat1 : -4.486115, Lon2 : 48.381115 , Lat2 : -4.4844666 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227006750 , Gap_End_1 : 1457003333 , Gap_End_2 : 1457003344, GeoHash : gbsg1z, Lon1 : 48.381565 , Lat1 : -4.4860983, Lon2 : 48.381115 , Lat2 : -4.4844666 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227635210 , Gap_End_1 : 1456948448 , Gap_End_2 : 1457003355, GeoHash : gbsg1x, Lon1 : 48.3825 , Lat1 : -4.4967217, Lon2 : 48.37953 , Lat2 : -4.4970136 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227635210 , Gap_End_1 : 1457003348 , Gap_End_2 : 1457003355, GeoHash : gbsg1x, Lon1 : 48.382465 , Lat1 : -4.4966683, Lon2 : 48.37953 , Lat2 : -4.4970136 }
Suspicious RendezVous : { Vessel_1 : 227142200, Vessel_2 : 227318020 , Gap_End_1 : 1457003334 , Gap_End_2 : 1457003405, GeoHash : gbscts, Lon1 : 48.099426 , Lat1 : -4.3273716, Lon2 : 48.099228 , Lat2 : -4.326505 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227574020 , Gap_End_1 : 1457003355 , Gap_End_2 : 1457040156, GeoHash : gbsg1x, Lon1 : 48.37953 , Lat1 : -4.4970136, Lon2 : 48.38249 , Lat2 : -4.4966617 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 228051000 , Gap_End_1 : 1457003344 , Gap_End_2 : 1457040170, GeoHash : gbsg1z, Lon1 : 48.381115 , Lat1 : -4.4844666, Lon2 : 48.381325 , Lat2 : -4.48508 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 228051000 , Gap_End_1 : 1457040154 , Gap_End_2 : 1457040170, GeoHash : gbsg1z, Lon1 : 48.381195 , Lat1 : -4.484472, Lon2 : 48.381325 , Lat2 : -4.48508 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1457040156 , Gap_End_2 : 1457040171, GeoHash : gbsg1x, Lon1 : 48.38249 , Lat1 : -4.4966617, Lon2 : 48.382458 , Lat2 : -4.4965415 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227008170 , Gap_End_1 : 1457040170 , Gap_End_2 : 1457040172, GeoHash : gbsg1z, Lon1 : 48.381325 , Lat1 : -4.48508, Lon2 : 48.381584 , Lat2 : -4.4860816 }
Suspicious RendezVous : { Vessel_1 : 227318020, Vessel_2 : 227142200 , Gap_End_1 : 1457003405 , Gap_End_2 : 1457040173, GeoHash : gbscts, Lon1 : 48.099228 , Lat1 : -4.326505, Lon2 : 48.09942 , Lat2 : -4.3273616 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227006750 , Gap_End_1 : 1457068362 , Gap_End_2 : 1457068374, GeoHash : gbsg1z, Lon1 : 48.381535 , Lat1 : -4.486115, Lon2 : 48.381126 , Lat2 : -4.4844966 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 228051000 , Gap_End_1 : 1457068374 , Gap_End_2 : 1457068380, GeoHash : gbsg1z, Lon1 : 48.381126 , Lat1 : -4.4844966, Lon2 : 48.381332 , Lat2 : -4.4851117 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 235101211 , Gap_End_1 : 1457068360 , Gap_End_2 : 1457112568, GeoHash : gbsg1q, Lon1 : 48.37462 , Lat1 : -4.5067782, Lon2 : 48.37477 , Lat2 : -4.5064836 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227006750 , Gap_End_1 : 1457068380 , Gap_End_2 : 1457112574, GeoHash : gbsg1z, Lon1 : 48.381332 , Lat1 : -4.4851117, Lon2 : 48.381115 , Lat2 : -4.484492 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227006750 , Gap_End_1 : 1457112558 , Gap_End_2 : 1457112574, GeoHash : gbsg1z, Lon1 : 48.381275 , Lat1 : -4.48508, Lon2 : 48.381115 , Lat2 : -4.484492 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1457068391 , Gap_End_2 : 1457112580, GeoHash : gbsg1x, Lon1 : 48.38238 , Lat1 : -4.4965916, Lon2 : 48.379784 , Lat2 : -4.4974666 }
Suspicious RendezVous : { Vessel_1 : 235101211, Vessel_2 : 228762000 , Gap_End_1 : 1457112568 , Gap_End_2 : 1457112589, GeoHash : gbsg1q, Lon1 : 48.37477 , Lat1 : -4.5064836, Lon2 : 48.374615 , Lat2 : -4.506748 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 228051000 , Gap_End_1 : 1457112574 , Gap_End_2 : 1457171278, GeoHash : gbsg1z, Lon1 : 48.381115 , Lat1 : -4.484492, Lon2 : 48.38131 , Lat2 : -4.4851065 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227006750 , Gap_End_1 : 1457171278 , Gap_End_2 : 1457171282, GeoHash : gbsg1z, Lon1 : 48.38131 , Lat1 : -4.4851065, Lon2 : 48.381187 , Lat2 : -4.4844766 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 235101211 , Gap_End_1 : 1457112589 , Gap_End_2 : 1457171300, GeoHash : gbsg1q, Lon1 : 48.374615 , Lat1 : -4.506748, Lon2 : 48.374775 , Lat2 : -4.5065084 }
